"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","异常场景","1","0","超时异常","0"
"0","","0","基础接口请求","1","0","POST JSON","0"
"0","","0","Token 鉴权","1","0","token 非空校验","0"
"0","","0","请求头和 Cookie 校验","1","0","Cookie 断言","0"
"0","","0","请求头和 Cookie 校验","1","0","请求头断言","0"
"0","","0","基础接口请求","1","0","GET 请求","0"
"0","","0","异常场景","1","0","鉴权缺失","0"
"0","","0","Token 鉴权","1","0","fixture 复用 token","0"
"0","","0","异常场景","1","0","错误状态码","0"
"0","","0","基础接口请求","1","0","POST 表单","0"
