"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","请求超时时能捕获 Timeout 异常","test_cases","2026-08-16","passed","2026-08-16","TestNegativeCases","test_04_negative_cases","",""
"","78","POST JSON 请求体提交","test_cases","2026-08-16","passed","2026-08-16","TestBasicApi","test_01_basic_api","",""
"","0","校验 fixture 返回的 token 非空","test_cases","2026-08-16","passed","2026-08-16","TestAuthToken","test_03_auth_token","",""
"","86","校验请求 Cookie 是否被服务端接收","test_cases","2026-08-16","passed","2026-08-16","TestHeadersAndCookie","test_02_headers_cookie","",""
"","77","校验自定义请求头是否被服务端接收","test_cases","2026-08-16","passed","2026-08-16","TestHeadersAndCookie","test_02_headers_cookie","",""
"","653","GET 请求携带 params 参数","test_cases","2026-08-16","passed","2026-08-16","TestBasicApi","test_01_basic_api","",""
"","0","本地校验未传 Authorization 请求头","test_cases","2026-08-16","passed","2026-08-16","TestNegativeCases","test_04_negative_cases","",""
"","94","使用全局 token fixture 发送鉴权请求","test_cases","2026-08-16","passed","2026-08-16","TestAuthToken","test_03_auth_token","",""
"","96","请求不存在资源返回 404","test_cases","2026-08-16","passed","2026-08-16","TestNegativeCases","test_04_negative_cases","",""
"","80","POST 表单 data 提交","test_cases","2026-08-16","passed","2026-08-16","TestBasicApi","test_01_basic_api","",""
